,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2011-07-11,5.679999828338623,5.705999851226807,5.599999904632568,5.670000076293945,5.670000076293945,4879000,12.726428985595703,12.848929405212402,12.600713729858398,12.64285659790039,10.87162971496582,442674400
2011-07-12,5.673999786376953,5.817999839782715,5.599999904632568,5.633999824523926,5.633999824523926,5227000,12.626070976257324,12.774286270141602,12.450714111328125,12.633929252624512,10.86395263671875,451609200
2011-07-13,5.685999870300293,5.806000232696533,5.579999923706055,5.728000164031982,5.728000164031982,5330000,12.797499656677246,12.85714340209961,12.727856636047363,12.786429405212402,10.995089530944824,391638800
2011-07-14,5.705999851226807,5.791999816894531,5.449999809265137,5.521999835968018,5.521999835968018,5795000,12.893214225769043,12.914643287658691,12.726428985595703,12.77750015258789,10.987409591674805,430533600
2011-07-15,5.558000087738037,5.565999984741211,5.480000019073486,5.515999794006348,5.515999794006348,3545000,12.89892864227295,13.035714149475098,12.827500343322754,13.032856941223145,11.206989288330078,484467200
2011-07-18,5.4679999351501465,5.489999771118164,5.326000213623047,5.446000099182129,5.446000099182129,4259500,13.051071166992188,13.380356788635254,13.045714378356934,13.350000381469727,11.47970199584961,572653200
2011-07-19,5.515999794006348,5.622000217437744,5.507999897003174,5.578000068664551,5.578000068664551,5130500,13.5,13.523214340209961,13.332857131958008,13.458929061889648,11.573371887207031,819145600
2011-07-20,5.599999904632568,6.0879998207092285,5.559999942779541,5.73799991607666,5.73799991607666,15241500,14.147143363952637,14.15250015258789,13.785714149475098,13.817856788635254,11.882014274597168,941340400
2011-07-21,5.7820000648498535,5.831999778747559,5.619999885559082,5.739999771118164,5.739999771118164,5057500,13.819643020629883,13.930713653564453,13.710714340209961,13.831786155700684,11.89399242401123,526534400
2011-07-22,5.739999771118164,5.9079999923706055,5.710000038146973,5.857999801635742,5.857999801635742,2917500,13.868571281433105,14.108928680419922,13.848214149475098,14.046428680419922,12.078564643859863,516728800
2011-07-25,5.802000045776367,5.849999904632568,5.688000202178955,5.697999954223633,5.697999954223633,3366500,13.941070556640625,14.285714149475098,13.914999961853027,14.23214340209961,12.238260269165039,589806000
2011-07-26,5.6620001792907715,5.754000186920166,5.593999862670898,5.599999904632568,5.599999904632568,3803000,14.285714149475098,14.446429252624512,14.274286270141602,14.407500267028809,12.389052391052246,476582400
2011-07-27,5.699999809265137,5.699999809265137,5.501999855041504,5.5279998779296875,5.5279998779296875,4792500,14.306785583496094,14.380000114440918,14.005356788635254,14.021071434020996,12.056761741638184,659324400
2011-07-28,5.519999980926514,5.710000038146973,5.507999897003174,5.633999824523926,5.633999824523926,4693500,13.986429214477539,14.178214073181152,13.861785888671875,13.993571281433105,12.033108711242676,594034000
2011-07-29,5.559999942779541,5.679999828338623,5.5,5.633999824523926,5.633999824523926,4741000,13.84428596496582,14.112500190734863,13.714285850524902,13.945713996887207,11.991955757141113,632584400
2011-08-01,5.734000205993652,5.796000003814697,5.642000198364258,5.754000186920166,5.754000186920166,5824500,14.206428527832031,14.26785659790039,14.013214111328125,14.16964340209961,12.184516906738281,612836000
2011-08-02,5.73799991607666,5.840000152587891,5.453999996185303,5.4679999351501465,5.4679999351501465,7747000,14.201786041259766,14.210714340209961,13.869643211364746,13.889642715454102,11.943744659423828,639539600
2011-08-03,5.5,5.565999984741211,5.26800012588501,5.440000057220459,5.440000057220459,8972500,13.963570594787598,14.055356979370117,13.651429176330566,14.020357131958008,12.056143760681152,732508000
2011-08-04,5.302000045776367,5.377999782562256,4.934000015258789,4.949999809265137,4.949999809265137,15322500,13.907500267028809,13.975713729858398,13.476785659790039,13.477499961853027,11.589339256286621,871407600
2011-08-05,4.998000144958496,5.076000213623047,4.565999984741211,4.8480000495910645,4.8480000495910645,9822000,13.587142944335938,13.696429252624512,12.948928833007812,13.343570709228516,11.474172592163086,1204590800
2011-08-08,4.619999885559082,4.888000011444092,4.619999885559082,4.728000164031982,4.728000164031982,13042500,12.917499542236328,13.134642601013184,12.607856750488281,12.614643096923828,10.847367286682129,1143833600
2011-08-09,4.829999923706055,5.090000152587891,4.739999771118164,5.01200008392334,5.01200008392334,6667000,12.903571128845215,13.378929138183594,12.678570747375488,13.357500076293945,11.486153602600098,1082583600
2011-08-10,5.0879998207092285,5.0879998207092285,4.72599983215332,4.763999938964844,4.763999938964844,7821000,13.255356788635254,13.380356788635254,12.946429252624512,12.98892879486084,11.169219017028809,878656800
2011-08-11,4.808000087738037,5.150000095367432,4.800000190734863,5.059999942779541,5.059999942779541,4182500,13.232856750488281,13.408928871154785,13.025713920593262,13.346428871154785,11.476630210876465,741969200
2011-08-12,5.119999885559082,5.427999973297119,5.072000026702881,5.26200008392334,5.26200008392334,5045500,13.5024995803833,13.558570861816406,13.365357398986816,13.463929176330566,11.57767105102539,528976000
2011-08-15,5.323999881744385,5.349999904632568,5.185999870300293,5.245999813079834,5.245999813079834,3693000,13.55821418762207,13.748929023742676,13.503213882446289,13.693214416503906,11.774835586547852,460544000
2011-08-16,5.22599983215332,5.308000087738037,5.165999889373779,5.21999979019165,5.21999979019165,2688500,13.625714302062988,13.69178581237793,13.430713653564453,13.588570594787598,11.68485164642334,498750000
2011-08-17,5.2779998779296875,5.329999923706055,5.1020002365112305,5.165999889373779,5.165999889373779,3218500,13.653928756713867,13.732856750488281,13.5,13.587142944335938,11.683623313903809,442061200
2011-08-18,5.0,5.03000020980835,4.693999767303467,4.8520002365112305,4.8520002365112305,5283000,13.244285583496094,13.308929443359375,12.906070709228516,13.073213577270508,11.241695404052734,851435200
2011-08-19,4.771999835968018,4.843999862670898,4.400000095367432,4.460000038146973,4.460000038146973,6876500,12.934642791748047,13.10714340209961,12.714285850524902,12.715356826782227,10.93397045135498,775888400
2011-08-22,4.622000217437744,4.760000228881836,4.335999965667725,4.389999866485596,4.389999866485596,4930500,13.018214225769043,13.031429290771484,12.681785583496094,12.729999542236328,10.946564674377441,535315200
2011-08-23,4.386000156402588,4.622000217437744,4.300000190734863,4.5920000076293945,4.5920000076293945,4345000,12.867856979370117,13.34428596496582,12.75,13.342857360839844,11.47356128692627,656835200
2011-08-24,4.619999885559082,4.785999774932861,4.565999984741211,4.77400016784668,4.77400016784668,3421500,13.338213920593262,13.534285545349121,13.235713958740234,13.4350004196167,11.552796363830566,626267600
2011-08-25,4.77400016784668,4.77400016784668,4.579999923706055,4.622000217437744,4.622000217437744,3399000,13.03857135772705,13.408928871154785,13.035714149475098,13.347143173217773,11.477246284484863,871346000
2011-08-26,4.541999816894531,4.789999961853027,4.414000034332275,4.745999813079834,4.745999813079834,3809000,13.256071090698242,13.70714282989502,13.242856979370117,13.699286460876465,11.780051231384277,641477200
2011-08-29,4.843999862670898,4.96999979019165,4.803999900817871,4.941999912261963,4.941999912261963,4017000,13.863571166992188,13.98214340209961,13.85714340209961,13.927499771118164,11.976296424865723,405269200
2011-08-30,4.900000095367432,4.953999996185303,4.817999839782715,4.926000118255615,4.926000118255615,1831000,13.866070747375488,13.994285583496094,13.793213844299316,13.928214073181152,11.976911544799805,417922400
2011-08-31,4.960000038146973,5.099999904632568,4.855999946594238,4.947999954223633,4.947999954223633,4119000,13.948928833007812,14.002857208251953,13.637857437133789,13.743928909301758,11.818443298339844,522586400
2011-09-01,4.932000160217285,4.973999977111816,4.76800012588501,4.800000190734863,4.800000190734863,4240500,13.77928638458252,13.833571434020996,13.597143173217773,13.608214378356934,11.701739311218262,343725200
2011-09-02,4.73199987411499,4.797999858856201,4.535999774932861,4.613999843597412,4.613999843597412,3849500,13.383570671081543,13.5,13.279643058776855,13.358928680419922,11.487381935119629,438939200
2011-09-06,4.5,4.639999866485596,4.458000183105469,4.5879998207092285,4.5879998207092285,4049000,13.120356559753418,13.583213806152344,13.088570594787598,13.562143325805664,11.662125587463379,509698000
2011-09-07,4.677999973297119,4.800000190734863,4.656000137329102,4.76800012588501,4.76800012588501,2296000,13.770000457763672,13.771429061889648,13.64285659790039,13.711786270141602,11.790803909301758,350576800
2011-09-08,4.716000080108643,4.806000232696533,4.656000137329102,4.7220001220703125,4.7220001220703125,2528500,13.657142639160156,13.878929138183594,13.653928756713867,13.71928596496582,11.797256469726562,416158400
2011-09-09,4.673999786376953,4.714000225067139,4.510000228881836,4.593999862670898,4.593999862670898,3346500,13.711786270141602,13.785714149475098,13.393570899963379,13.481429100036621,11.592720031738281,564813200
2011-09-12,4.5,4.6620001792907715,4.489999771118164,4.576000213623047,4.576000213623047,2833000,13.321429252624512,13.602856636047363,13.282142639160156,13.569286346435547,11.668268203735352,467832400
2011-09-13,4.6020002365112305,4.820000171661377,4.550000190734863,4.815999984741211,4.815999984741211,3632500,13.647856712341309,13.793213844299316,13.58035659790039,13.736429214477539,11.811994552612305,440560400
2011-09-14,4.849999904632568,4.9679999351501465,4.757999897003174,4.868000030517578,4.868000030517578,4154000,13.822142601013184,14.007499694824219,13.777142524719238,13.903571128845215,11.955721855163574,534724400
2011-09-15,4.915999889373779,4.986000061035156,4.866000175476074,4.964000225067139,4.964000225067139,2813000,13.979642868041992,14.059286117553711,13.925000190734863,14.034285545349121,12.068121910095215,417818800
2011-09-16,4.955999851226807,5.168000221252441,4.8979997634887695,5.159999847412109,5.159999847412109,7085500,14.126428604125977,14.303570747375488,14.108214378356934,14.303570747375488,12.299681663513184,698513200
