,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,LINK-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,ADA-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD,LTC-USD
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-03,,,,,,,,,,,,,375.1809997558594,377.69500732421875,357.8590087890625,359.5119934082031,359.5119934082031,30901200,,,,,,,4.31935977935791,4.340310096740723,4.1640400886535645,4.175119876861572,4.175119876861572,1471270
2014-10-04,,,,,,,,,,,,,359.8919982910156,364.48699951171875,325.885986328125,328.8659973144531,328.8659973144531,47236500,,,,,,,4.173130035400391,4.2840399742126465,3.888010025024414,3.938199996948242,3.938199996948242,6948810
2014-10-05,,,,,,,,,,,,,328.9159851074219,341.8009948730469,289.2959899902344,320.510009765625,320.510009765625,83308096,,,,,,,3.9420700073242188,4.04341983795166,3.480600118637085,3.6991400718688965,3.6991400718688965,8143680
2014-10-06,,,,,,,,,,,,,320.3890075683594,345.1340026855469,302.55999755859375,330.0790100097656,330.0790100097656,79011800,,,,,,,3.703049898147583,3.9148600101470947,3.5722498893737793,3.8223700523376465,3.8223700523376465,9482680
2014-10-07,,,,,,,,,,,,,330.5840148925781,339.24700927734375,320.48199462890625,336.18701171875,336.18701171875,49199900,,,,,,,3.8133299350738525,3.949860095977783,3.6882100105285645,3.8586299419403076,3.8586299419403076,7096400
2014-10-08,,,,,,,,,,,,,336.1159973144531,354.364013671875,327.18798828125,352.94000244140625,352.94000244140625,54736300,,,,,,,3.8554699420928955,3.9298899173736572,3.7478299140930176,3.9078900814056396,3.9078900814056396,5850860
2014-10-09,,,,,,,,,,,,,352.74798583984375,382.72601318359375,347.68701171875,365.0260009765625,365.0260009765625,83641104,,,,,,,3.9086201190948486,4.028759956359863,3.8652899265289307,3.9006600379943848,3.9006600379943848,8316140
2014-10-10,,,,,,,,,,,,,364.68701171875,375.0669860839844,352.9630126953125,361.56201171875,361.56201171875,43665700,,,,,,,3.898859977722168,3.9158899784088135,3.774250030517578,3.807389974594116,3.807389974594116,6313690
2014-10-11,,,,,,,,,,,,,361.36199951171875,367.1910095214844,355.95098876953125,362.29901123046875,362.29901123046875,13345200,,,,,,,3.795919895172119,3.8389699459075928,3.67792010307312,3.77266001701355,3.77266001701355,3498570
2014-10-12,,,,,,,,,,,,,362.6059875488281,379.4330139160156,356.1440124511719,378.54901123046875,378.54901123046875,17552800,,,,,,,3.7765800952911377,3.8514699935913086,3.696039915084839,3.850330114364624,3.850330114364624,2712090
2014-10-13,,,,,,,,,,,,,377.9209899902344,397.22601318359375,368.8970031738281,390.41400146484375,390.41400146484375,35221400,,,,,,,3.846440076828003,3.895740032196045,3.791179895401001,3.8617799282073975,3.8617799282073975,4200710
2014-10-14,,,,,,,,,,,,,391.6919860839844,411.697998046875,391.3240051269531,400.8699951171875,400.8699951171875,38491500,,,,,,,3.8645200729370117,4.229109764099121,3.8645200729370117,4.0759100914001465,4.0759100914001465,8247860
2014-10-15,,,,,,,,,,,,,400.9549865722656,402.22698974609375,388.7659912109375,394.77301025390625,394.77301025390625,25267100,,,,,,,4.076990127563477,4.076990127563477,3.9927499294281006,4.056419849395752,4.056419849395752,4837180
2014-10-16,,,,,,,,,,,,,394.51800537109375,398.8070068359375,373.07000732421875,382.5559997558594,382.5559997558594,26990000,,,,,,,4.057740211486816,4.096799850463867,3.9587600231170654,3.9908900260925293,3.9908900260925293,4204880
2014-10-17,,,,,,,,,,,,,382.7560119628906,385.4779968261719,375.3890075683594,383.75799560546875,383.75799560546875,13600700,,,,,,,3.9914400577545166,4.0160298347473145,3.9539101123809814,3.993269920349121,3.993269920349121,3561280
2014-10-18,,,,,,,,,,,,,383.97601318359375,395.1579895019531,378.97100830078125,391.4419860839844,391.4419860839844,11416800,,,,,,,3.9916300773620605,4.0877299308776855,3.954710006713867,4.055759906768799,4.055759906768799,2386140
2014-10-19,,,,,,,,,,,,,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,389.5459899902344,5914570,,,,,,,4.056429862976074,4.061460018157959,3.974440097808838,3.9889400005340576,3.9889400005340576,1576340
2014-10-20,,,,,,,,,,,,,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,382.8450012207031,16419000,,,,,,,3.983570098876953,3.983570098876953,3.8774800300598145,3.909830093383789,3.909830093383789,2252890
